,Quartal,Immobielienpreis,Leerstand,Mietpreis
0,Q1 2004,1289.0,,
1,Q2 2004,1270.0,4.1,
2,Q3 2004,1262.0,,
3,Q4 2004,1243.0,,
4,Q1 2005,1232.0,,
5,Q2 2005,1226.0,3.9,
6,Q3 2005,1231.0,,
7,Q4 2005,1239.0,,
8,Q1 2006,1252.0,,
9,Q2 2006,1259.0,3.7,
10,Q3 2006,1246.0,,
11,Q4 2006,1234.0,,
12,Q1 2007,1242.0,,
13,Q2 2007,1235.0,3.2,
14,Q3 2007,1224.0,,
15,Q4 2007,1223.0,,
16,Q1 2008,1232.0,,
17,Q2 2008,1251.0,3.3,
18,Q3 2008,1293.0,,
19,Q4 2008,1231.0,,
20,Q1 2009,1198.0,,
21,Q2 2009,1212.0,3.1,
22,Q3 2009,1242.0,,
23,Q4 2009,1224.0,,
24,Q1 2010,1170.0,,
25,Q2 2010,1190.0,3.1,
26,Q3 2010,1190.0,,
27,Q4 2010,1192.0,,
28,Q1 2011,1163.0,,
29,Q2 2011,1166.0,2.8,
30,Q3 2011,1153.0,,
31,Q4 2011,1177.0,,
32,Q1 2012,1183.0,,
33,Q2 2012,1204.0,2.8,
34,Q3 2012,1240.0,,
35,Q4 2012,1241.0,,
36,Q1 2013,1241.0,,
37,Q2 2013,1259.0,2.7,
38,Q3 2013,1333.0,,
39,Q4 2013,1307.0,,
40,Q1 2014,1344.0,,
41,Q2 2014,1326.0,2.6,
42,Q3 2014,1302.0,,
43,Q4 2014,1329.0,,
44,Q1 2015,1313.0,,
45,Q2 2015,1342.0,2.5,
46,Q3 2015,1371.0,,
47,Q4 2015,1422.0,,
48,Q1 2016,1513.0,,
49,Q2 2016,1475.0,2.5,
50,Q3 2016,1497.0,,
51,Q4 2016,1445.0,,
52,Q1 2017,1421.0,,
53,Q2 2017,1419.0,2.5,
54,Q3 2017,1469.0,,
55,Q4 2017,1486.0,,
56,Q1 2018,1571.0,,
57,Q2 2018,1563.0,,
58,Q3 2018,1585.0,,
59,Q4 2018,1642.0,,
60,Q1 2019,1662.0,,
61,,,,
62,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",,,
63,Q2 2001,,3.4,
64,Q2 2002,,3.2,
65,Q2 2003,,3.6,
