,Quartal,Immobielienpreis,Leerstand,Mietpreis
0,Q1 2012,1738.0,,
1,Q2 2012,1851.0,1.4,8.7
2,Q3 2012,1900.0,,
3,Q4 2012,1920.0,,
4,Q1 2013,2030.0,,
5,Q2 2013,2047.0,1.2,9.2
6,Q3 2013,2129.0,,
7,Q4 2013,2094.0,,
8,Q1 2014,2089.0,,
9,Q2 2014,2232.0,1.1,9.5
10,Q3 2014,2243.0,,
11,Q4 2014,2314.0,,
12,Q1 2015,2393.0,,
13,Q2 2015,2495.0,1.1,10.0
14,Q3 2015,2495.0,,
15,Q4 2015,2581.0,,
16,Q1 2016,2692.0,,
17,Q2 2016,2744.0,1.0,10.5
18,Q3 2016,2782.0,,
19,Q4 2016,2772.0,,
20,Q1 2017,2840.0,,
21,Q2 2017,2799.0,0.97,11.1
22,Q3 2017,2958.0,,
23,Q4 2017,3004.0,,
24,Q1 2018,3008.0,,
25,Q2 2018,3013.0,0.91,11.3
26,Q3 2018,3134.0,,
27,Q4 2018,3242.0,,
28,Q1 2019,3299.0,,
29,Q2 2019,3431.0,0.88,
30,Q3 2019,3558.0,,
31,Q4 2019,3655.0,,
32,Q1 2020,3764.0,,
33,Q2 2020,3916.0,,
34,Q3 2020,4063.0,,
35,Q4 2020,4181.0,,
36,Q1 2021,4314.0,,
37,Q2 2001,,1.5,
38,Q2 2002,,1.8,
39,Q2 2003,,1.8,
40,Q2 2004,,1.9,
41,Q2 2005,,2.4,
42,Q2 2006,,2.2,
43,Q2 2007,,2.4,
44,Q2 2008,,2.32,
45,Q2 2009,,2.23,
46,Q2 2010,,1.59,8.4
47,Q2 2011,,1.47,8.5
