,Quartal,Immobielienpreis,Leerstand,Mietpreis
0,Q1 2004,2773.0,,
1,Q2 2004,2715.0,1.8,
2,Q3 2004,2697.0,,
3,Q4 2004,2662.0,,
4,Q1 2005,2638.0,,
5,Q2 2005,2608.0,2.0,
6,Q3 2005,2608.0,,
7,Q4 2005,2530.0,,
8,Q1 2006,2564.0,,
9,Q2 2006,2569.0,2.2,
10,Q3 2006,2556.0,,
11,Q4 2006,2469.0,,
12,Q1 2007,2429.0,,
13,Q2 2007,2461.0,1.5,
14,Q3 2007,2467.0,,
15,Q4 2007,2489.0,,
16,Q1 2008,2483.0,,
17,Q2 2008,2483.0,1.9,
18,Q3 2008,2569.0,,
19,Q4 2008,2602.0,,
20,Q1 2009,2623.0,,
21,Q2 2009,2624.0,1.6,
22,Q3 2009,2737.0,,
23,Q4 2009,2557.0,,
24,Q1 2010,2573.0,,
25,Q2 2010,2654.0,1.2,
26,Q3 2010,2903.0,,
27,Q4 2010,3015.0,,
28,Q1 2011,3093.0,,
29,Q2 2011,3008.0,0.6,
30,Q3 2011,3287.0,,
31,Q4 2011,3316.0,,
32,Q1 2012,3428.0,,
33,Q2 2012,3553.0,0.5,
34,Q3 2012,3846.0,,
35,Q4 2012,3892.0,,
36,Q1 2013,4150.0,,
37,Q2 2013,4179.0,0.4,
38,Q3 2013,4265.0,,
39,Q4 2013,4321.0,,
40,Q1 2014,4406.0,,
41,Q2 2014,4559.0,0.4,
42,Q3 2014,4658.0,,
43,Q4 2014,4758.0,,
44,Q1 2015,4882.0,,
45,Q2 2015,5122.0,0.2,
46,Q3 2015,5371.0,,
47,Q4 2015,5493.0,,
48,Q1 2016,5679.0,,
49,Q2 2016,5843.0,0.2,
50,Q3 2016,5964.0,,
51,Q4 2016,6072.0,,
52,Q1 2017,6254.0,,
53,Q2 2017,6367.0,0.2,
54,Q3 2017,6470.0,,
55,Q4 2017,6575.0,,
56,Q1 2018,6803.0,,
57,Q2 2018,7030.0,0.2,
58,Q3 2018,7156.0,,
59,Q4 2018,7280.0,,
60,Q1 2019,7323.0,,
61,Q2 2019,7409.0,0.2,
62,Q3 2019,7559.0,,
63,Q4 2019,7879.0,,
64,Q1 2020,7821.0,,
65,Q2 2020,7829.0,,
66,Q3 2020,8009.0,,
67,Q4 2020,8051.0,,
68,Q1 2021,8388.0,,
69,,,,
70,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",,,
71,Q2 2001,,0.9,
72,Q2 2002,,1.3,
73,Q2 2003,,1.3,
