,Quartal,Immobielienpreis,Leerstand,Mietpreis
0,Q1 2004,1289.0,,4.74
1,Q2 2004,1270.0,4.1,4.68
2,Q3 2004,1262.0,,4.69
3,Q4 2004,1243.0,,4.68
4,Q1 2005,1232.0,,4.71
5,Q2 2005,1226.0,3.9,4.67
6,Q3 2005,1231.0,,4.69
7,Q4 2005,1239.0,,4.78
8,Q1 2006,1252.0,,4.68
9,Q2 2006,1259.0,3.7,4.73
10,Q3 2006,1246.0,,4.7
11,Q4 2006,1234.0,,4.72
12,Q1 2007,1242.0,,4.81
13,Q2 2007,1235.0,3.2,4.79
14,Q3 2007,1224.0,,4.82
15,Q4 2007,1223.0,,4.84
16,Q1 2008,1232.0,,4.87
17,Q2 2008,1251.0,3.3,4.9
18,Q3 2008,1293.0,,4.93
19,Q4 2008,1231.0,,4.85
20,Q1 2009,1198.0,,4.84
21,Q2 2009,1212.0,3.1,4.86
22,Q3 2009,1242.0,,4.93
23,Q4 2009,1224.0,,4.96
24,Q1 2010,1170.0,,5.16
25,Q2 2010,1190.0,3.1,5.23
26,Q3 2010,1190.0,,5.27
27,Q4 2010,1192.0,,5.22
28,Q1 2011,1163.0,,5.18
29,Q2 2011,1166.0,2.8,5.28
30,Q3 2011,1153.0,,5.22
31,Q4 2011,1177.0,,5.15
32,Q1 2012,1183.0,,5.1
33,Q2 2012,1204.0,2.8,5.11
34,Q3 2012,1240.0,,5.18
35,Q4 2012,1241.0,,5.17
36,Q1 2013,1241.0,,5.32
37,Q2 2013,1259.0,2.7,5.34
38,Q3 2013,1333.0,,5.36
39,Q4 2013,1307.0,,5.39
40,Q1 2014,1344.0,,5.52
41,Q2 2014,1326.0,2.6,5.59
42,Q3 2014,1302.0,,5.59
43,Q4 2014,1329.0,,5.59
44,Q1 2015,1313.0,,5.77
45,Q2 2015,1342.0,2.5,5.72
46,Q3 2015,1371.0,,5.82
47,Q4 2015,1422.0,,5.86
48,Q1 2016,1513.0,,5.93
49,Q2 2016,1475.0,2.5,6.01
50,Q3 2016,1497.0,,6.11
51,Q4 2016,1445.0,,6.2
52,Q1 2017,1421.0,,6.35
53,Q2 2017,1419.0,2.5,6.42
54,Q3 2017,1469.0,,6.5
55,Q4 2017,1486.0,,6.64
56,Q1 2018,1571.0,,6.71
57,Q2 2018,1563.0,,6.75
58,Q3 2018,1585.0,,6.75
59,Q4 2018,1642.0,,6.83
60,Q1 2019,1662.0,,6.87
61,,,,
62,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",,,
63,Q2 2001,,3.4,
64,Q2 2002,,3.2,
65,Q2 2003,,3.6,
