,Quartal,Immobielienpreis,Leerstand,Mietpreis
0,Q1 2012,1854.0,,8.15
1,Q2 2012,1924.0,1.7,8.25
2,Q3 2012,2036.0,,8.28
3,Q4 2012,2055.0,,8.36
4,Q1 2013,2221.0,,8.74
5,Q2 2013,2189.0,1.6,8.6
6,Q3 2013,2223.0,,8.56
7,Q4 2013,2305.0,,8.56
8,Q1 2014,2287.0,,8.55
9,Q2 2014,2416.0,1.55,8.63
10,Q3 2014,2434.0,,8.62
11,Q4 2014,2398.0,,8.63
12,Q1 2015,2571.0,,8.77
13,Q2 2015,2630.0,1.5,8.87
14,Q3 2015,2554.0,,8.95
15,Q4 2015,2558.0,,9.08
16,Q1 2016,2595.0,,9.23
17,Q2 2016,2618.0,1.5,9.22
18,Q3 2016,2680.0,,9.2
19,Q4 2016,2780.0,,9.38
20,Q1 2017,2805.0,,9.42
21,Q2 2017,2966.0,1.44,9.5
22,Q3 2017,2968.0,,9.52
23,Q4 2017,2910.0,,9.62
24,Q1 2018,3046.0,,9.7
25,Q2 2018,3074.0,1.4,9.72
26,Q3 2018,3153.0,,9.9
27,Q4 2018,3290.0,,10.06
28,Q1 2019,3323.0,,10.04
29,Q2 2019,3492.0,1.35,10.16
30,Q3 2019,3634.0,,10.27
31,Q4 2019,3746.0,,10.4
32,Q1 2020,3785.0,,10.68
33,Q2 2020,3881.0,,10.72
34,Q3 2020,3997.0,,10.79
35,Q4 2020,4124.0,,10.88
36,Q1 2021,4378.0,,10.83
37,Q2 2001,,1.8,
38,Q2 2002,,2.1,
39,Q2 2003,,2.6,
40,Q2 2004,,2.5,
41,Q2 2005,,3.0,
42,Q2 2006,,3.3,
43,Q2 2007,,2.5,
44,Q2 2008,,2.5,
45,Q2 2009,,2.5,
46,Q2 2010,,2.3,
47,Q2 2011,,1.77,
