,Quartal,Immobielienpreis,Leerstand,Mietpreis
0,Q1 2004,2773.0,,10.06
1,Q2 2004,2715.0,1.8,9.9
2,Q3 2004,2697.0,,9.72
3,Q4 2004,2662.0,,9.67
4,Q1 2005,2638.0,,9.67
5,Q2 2005,2608.0,2.0,9.52
6,Q3 2005,2608.0,,9.6
7,Q4 2005,2530.0,,9.53
8,Q1 2006,2564.0,,9.62
9,Q2 2006,2569.0,2.2,9.7
10,Q3 2006,2556.0,,9.72
11,Q4 2006,2469.0,,9.82
12,Q1 2007,2429.0,,9.82
13,Q2 2007,2461.0,1.5,9.79
14,Q3 2007,2467.0,,9.9
15,Q4 2007,2489.0,,10.0
16,Q1 2008,2483.0,,10.31
17,Q2 2008,2483.0,1.9,10.32
18,Q3 2008,2569.0,,10.7
19,Q4 2008,2602.0,,10.69
20,Q1 2009,2623.0,,10.51
21,Q2 2009,2624.0,1.6,10.51
22,Q3 2009,2737.0,,10.58
23,Q4 2009,2557.0,,10.57
24,Q1 2010,2573.0,,10.6
25,Q2 2010,2654.0,1.2,10.72
26,Q3 2010,2903.0,,10.81
27,Q4 2010,3015.0,,10.83
28,Q1 2011,3093.0,,10.73
29,Q2 2011,3008.0,0.6,11.01
30,Q3 2011,3287.0,,11.07
31,Q4 2011,3316.0,,11.14
32,Q1 2012,3428.0,,11.41
33,Q2 2012,3553.0,0.5,11.66
34,Q3 2012,3846.0,,11.9
35,Q4 2012,3892.0,,11.98
36,Q1 2013,4150.0,,12.62
37,Q2 2013,4179.0,0.4,12.46
38,Q3 2013,4265.0,,12.73
39,Q4 2013,4321.0,,12.88
40,Q1 2014,4406.0,,12.93
41,Q2 2014,4559.0,0.4,12.98
42,Q3 2014,4658.0,,12.91
43,Q4 2014,4758.0,,13.18
44,Q1 2015,4882.0,,13.84
45,Q2 2015,5122.0,0.2,13.87
46,Q3 2015,5371.0,,13.97
47,Q4 2015,5493.0,,13.58
48,Q1 2016,5679.0,,13.93
49,Q2 2016,5843.0,0.2,14.25
50,Q3 2016,5964.0,,14.21
51,Q4 2016,6072.0,,14.5
52,Q1 2017,6254.0,,14.67
53,Q2 2017,6367.0,0.2,15.13
54,Q3 2017,6470.0,,15.06
55,Q4 2017,6575.0,,15.36
56,Q1 2018,6803.0,,15.75
57,Q2 2018,7030.0,0.2,15.87
58,Q3 2018,7156.0,,16.06
59,Q4 2018,7280.0,,15.95
60,Q1 2019,7323.0,,16.42
61,Q2 2019,7409.0,0.2,16.65
62,Q3 2019,7559.0,,16.28
63,Q4 2019,7879.0,,16.3
64,Q1 2020,7821.0,,16.3
65,Q2 2020,7829.0,,16.92
66,Q3 2020,8009.0,,16.93
67,Q4 2020,8051.0,,17.09
68,Q1 2021,8388.0,,16.95
69,,,,
70,"Bitte beachten Sie, dass es bei den ausgegrauten Wertangaben zu Abweichungen im Abgleich mit entsprechenden (eventuell nachberechneten) Daten der Quelle kommen kann.",,,
71,Q2 2001,,0.9,
72,Q2 2002,,1.3,
73,Q2 2003,,1.3,
